category	name	domain	price	renewal	premium	pork_error	fed_active	fed_dissolved	fed_total	fed_sample	fed_error
enterprise_invented	Calandel	calandel.com	11.08	11.08	no		0	0	0		
enterprise_invented	Calvedos	calvedos.com	11.08	11.08	no		0	0	0		
enterprise_invented	Karandel	karandel.com	11.08	11.08	no		0	0	0		
enterprise_invented	Karvedos	karvedos.com	11.08	11.08	no		0	0	0		
enterprise_invented	Karveris	karveris.com	11.08	11.08	no		0	0	0		
enterprise_invented	Lumandel	lumandel.com	11.08	11.08	no		0	0	0		
enterprise_invented	Maridicta	maridicta.com	11.08	11.08	no		0	0	0		
enterprise_invented	Marvedos	marvedos.com	11.08	11.08	no		0	0	0		
enterprise_invented	Norandel	norandel.com	11.08	11.08	no		0	0	0		
enterprise_invented	Norvedos	norvedos.com	11.08	11.08	no		0	0	0		
enterprise_invented	Norveris	norveris.com	11.08	11.08	no		0	0	0		
enterprise_invented	Olvandel	olvandel.com	11.08	11.08	no		0	0	0		
enterprise_invented	Olvarae	olvarae.com	11.08	11.08	no		0	0	0		
enterprise_invented	Olvedos	olvedos.com	11.08	11.08	no		0	0	0		
enterprise_invented	Olveric	olveric.com	11.08	11.08	no		0	0	0		
enterprise_invented	Pelanta	pelanta.com	11.08	11.08	no		0	0	0		
enterprise_invented	Plenandel	plenandel.com	11.08	11.08	no		0	0	0		
enterprise_invented	Plenedos	plenedos.com	11.08	11.08	no		0	0	0		
enterprise_invented	Solandel	solandel.com	11.08	11.08	no		0	0	0		
enterprise_invented	Solvedos	solvedos.com	11.08	11.08	no		0	0	0		
enterprise_invented	Stelandel	stelandel.com	11.08	11.08	no		0	0	0		
enterprise_invented	Stelanta	stelanta.com	11.08	11.08	no		0	0	0		
enterprise_invented	Stelvedos	stelvedos.com	11.08	11.08	no		0	0	0		
enterprise_invented	Stelveric	stelveric.com	11.08	11.08	no		0	0	0		
enterprise_invented	Stelveris	stelveris.com	11.08	11.08	no		0	0	0		
enterprise_invented	Verandel	verandel.com	11.08	11.08	no		0	0	0		
enterprise_invented	Verandil	verandil.com	11.08	11.08	no		0	0	0		
enterprise_invented	Veranthos	veranthos.com	11.08	11.08	no		0	0	0		
greek_roman_chad	Achillesforge	achillesforge.com	11.08	11.08	no		0	0	0		
greek_roman_chad	Atlasclad	atlasclad.com	11.08	11.08	no		0	0	0		
greek_roman_chad	Praetorforge	praetorforge.com	11.08	11.08	no		0	0	0		
greek_roman_chad	Praetorworks	praetorworks.com	11.08	11.08	no		0	0	0		
greek_roman_chad	Romulusforge	romulusforge.com	11.08	11.08	no		0	0	0		
greek_roman_chad	Romulusworks	romulusworks.com	11.08	11.08	no		0	0	0		
greek_roman_chad	Triton34	triton34.com	11.08	11.08	no		0	0	0		
moggy_sigma	Beastclad	beastclad.com	11.08	11.08	no		0	0	0		
moggy_sigma	Brawlsigma	brawlsigma.com	11.08	11.08	no		0	0	0		
moggy_sigma	Brawlstride	brawlstride.com	11.08	11.08	no		0	0	0		
moggy_sigma	Lionsavage	lionsavage.com	11.08	11.08	no		0	0	0		
moggy_sigma	Maxxsavage	maxxsavage.com	11.08	11.08	no		0	0	0		
moggy_sigma	Maxxsigma	maxxsigma.com	11.08	11.08	no		0	0	0		
moggy_sigma	Maxxstride	maxxstride.com	11.08	11.08	no		0	0	0		
moggy_sigma	Mogclad	mogclad.com	11.08	11.08	no		0	0	0		
moggy_sigma	Mogedge	mogedge.com	11.08	11.08	no		0	0	0		
moggy_sigma	Mogfortress	mogfortress.com	11.08	11.08	no		0	0	0		
moggy_sigma	Mogiron	mogiron.com	11.08	11.08	no		0	0	0		
moggy_sigma	Mogsavage	mogsavage.com	11.08	11.08	no		0	0	0		
moggy_sigma	Mogstark	mogstark.com	11.08	11.08	no		0	0	0		
moggy_sigma	Mogsteel	mogsteel.com	11.08	11.08	no		0	0	0		
moggy_sigma	Mogstride	mogstride.com	11.08	11.08	no		0	0	0		
moggy_sigma	Mogthrust	mogthrust.com	11.08	11.08	no		0	0	0		
moggy_sigma	Mogvault	mogvault.com	11.08	11.08	no		0	0	0		
moggy_sigma	Sigmaclash	sigmaclash.com	11.08	11.08	no		0	0	0		
moggy_sigma	Sigmastark	sigmastark.com	11.08	11.08	no		0	0	0		
moggy_sigma	Tigerclad	tigerclad.com	11.08	11.08	no		0	0	0		
moggy_sigma	Wolfsavage	wolfsavage.com	11.08	11.08	no		0	0	0		
moggy_sigma	Wolfthrust	wolfthrust.com	11.08	11.08	no		0	0	0		
