category	name	domain	price	renewal	premium	pork_error	fed_active	fed_dissolved	fed_total	fed_sample	fed_error
tech_general	Aremvor	aremvor.com	11.08	11.08	no		0	0	0		
tech_general	Avenarith	avenarith.com	11.08	11.08	no		0	0	0		
tech_general	Avronell	avronell.com	11.08	11.08	no		0	0	0		
tech_general	Brendanos	brendanos.com	11.08	11.08	no		0	0	0		
tech_general	Brevelta	brevelta.com	11.08	11.08	no		0	0	0		
tech_general	Brevidor	brevidor.com	11.08	11.08	no		0	0	0		
tech_general	Brevidos	brevidos.com	11.08	11.08	no		0	0	0		
tech_general	Bridvor	bridvor.com	11.08	11.08	no		0	0	0		
tech_general	Brovenell	brovenell.com	11.08	11.08	no		0	0	0		
tech_general	Calanence	calanence.com	11.08	11.08	no		0	0	0		
tech_general	Calatial	calatial.com	11.08	11.08	no		0	0	0		
tech_general	Calatier	calatier.com	11.08	11.08	no		0	0	0		
tech_general	Calbaxis	calbaxis.com	11.08	11.08	no		0	0	0		
tech_general	Calbonia	calbonia.com	11.08	11.08	no		0	0	0		
tech_general	Caldord	caldord.com	11.08	11.08	no		0	0	0		
tech_general	Calivity	calivity.com	11.08	11.08	no		0	0	0		
tech_general	Calmaron	calmaron.com	11.08	11.08	no		0	0	0		
tech_general	Calovaris	calovaris.com	11.08	11.08	no		0	0	0		
tech_general	Carendrik	carendrik.com	11.08	11.08	no		0	0	0		
tech_general	Crelvanth	crelvanth.com	11.08	11.08	no		0	0	0		
tech_general	Crelvarith	crelvarith.com	11.08	11.08	no		0	0	0		
tech_general	Crovedell	crovedell.com	11.08	11.08	no		0	0	0		
tech_general	Daravost	daravost.com	11.08	11.08	no		0	0	0		
tech_general	Dremto	dremto.com	11.08	11.08	no		0	0	0		
tech_general	Drevandel	drevandel.com	11.08	11.08	no		0	0	0		
tech_general	Drevarist	drevarist.com	11.08	11.08	no		0	0	0		
tech_general	Drevelta	drevelta.com	11.08	11.08	no		0	0	0		
tech_general	Drovendel	drovendel.com	11.08	11.08	no		0	0	0		
tech_general	Endorica	endorica.com	11.08	11.08	no		0	0	0		
tech_general	Erelta	erelta.com	11.08	11.08	no		0	0	0		
tech_general	Eronvel	eronvel.com	11.08	11.08	no		0	0	0		
tech_general	Eronvell	eronvell.com	11.08	11.08	no		0	0	0		
tech_general	Ervaron	ervaron.com	11.08	11.08	no		0	0	0		
tech_general	Felvelta	felvelta.com	11.08	11.08	no		0	0	0		
tech_general	Forenvar	forenvar.com	11.08	11.08	no		0	0	0		
tech_general	Frovendel	frovendel.com	11.08	11.08	no		0	0	0		
tech_general	Gavandrik	gavandrik.com	11.08	11.08	no		0	0	0		
tech_general	Gelvelta	gelvelta.com	11.08	11.08	no		0	0	0		
tech_general	Gravaron	gravaron.com	11.08	11.08	no		0	0	0		
tech_general	Grendalor	grendalor.com	11.08	11.08	no		0	0	0		
tech_general	Grovendel	grovendel.com	11.08	11.08	no		0	0	0		
tech_general	Helvanora	helvanora.com	11.08	11.08	no		0	0	0		
tech_general	Helvelta	helvelta.com	11.08	11.08	no		0	0	0		
tech_general	Holvarith	holvarith.com	11.08	11.08	no		0	0	0		
tech_general	Holvor	holvor.com	11.08	11.08	no		0	0	0		
tech_general	Hrovendell	hrovendell.com	11.08	11.08	no		0	0	0		
tech_general	Indrelta	indrelta.com	11.08	11.08	no		0	0	0		
tech_general	Irovendel	irovendel.com	11.08	11.08	no		0	0	0		
tech_general	Iverando	iverando.com	11.08	11.08	no		0	0	0		
tech_general	Jelvelta	jelvelta.com	11.08	11.08	no		0	0	0		
tech_general	Jorvenor	jorvenor.com	11.08	11.08	no		0	0	0		
tech_general	Jovaron	jovaron.com	11.08	11.08	no		0	0	0		
