category	name	domain	whois_com	fed_active	fed_total	price	regular	renewal	transfer	premium	avail	pork_error
tech_modern	Caldanti	caldanti.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Calraxis	calraxis.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Calveritas	calveritas.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_mid	Cendore	cendore.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Karraxis	karraxis.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Karveritas	karveritas.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_modern	Krenant	krenant.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_modern	Krendanti	krendanti.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Lumraxis	lumraxis.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Lumveritas	lumveritas.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
pro_invented_long	Marideth	marideth.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Marraxis	marraxis.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Marveritas	marveritas.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_mid	Norandor	norandor.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Norraxis	norraxis.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_modern	Norvare	norvare.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_modern	Norvdanti	norvdanti.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
tech_latin_abstract	Norveritas	norveritas.com	AVAILABLE	0	0	11.08	11.08	11.08	11.08	no	yes	
