category	name	domain	whois_com	fed_active	fed_dissolved	fed_total	fed_sample	fed_error
latin_long	Avendris	avendris.com	TAKEN	0	0	0		
latin_long	Belvanor	belvanor.com	AVAILABLE	0	0	0		
latin_long	Caldreth	caldreth.com	AVAILABLE	0	0	0		
latin_long	Dornavik	dornavik.com	AVAILABLE	0	0	0		
latin_long	Endurion	endurion.com	TAKEN	0	0	0		
latin_long	Fendaris	fendaris.com	AVAILABLE	0	0	0		
latin_long	Gorvanth	gorvanth.com	AVAILABLE	0	0	0		
latin_long	Helvarin	helvarin.com	TAKEN	0	0	0		
latin_long	Indralor	indralor.com	AVAILABLE	0	0	0		
latin_long	Jovendar	jovendar.com	AVAILABLE	0	0	0		
latin_long	Korvelis	korvelis.com	AVAILABLE	0	0	0		
latin_long	Lendrith	lendrith.com	AVAILABLE	0	0	0		
latin_long	Morvenix	morvenix.com	TAKEN	0	0	0		
latin_long	Norvanis	norvanis.com	AVAILABLE	0	0	0		
latin_long	Olverith	olverith.com	AVAILABLE	0	0	0		
latin_long	Pendarix	pendarix.com	AVAILABLE	0	0	0		
latin_long	Quorvanth	quorvanth.com	AVAILABLE	0	0	0		
latin_long	Renvarith	renvarith.com	AVAILABLE	0	0	0		
latin_long	Solendris	solendris.com	AVAILABLE	0	0	0		
latin_long	Tervanis	tervanis.com	TAKEN	0	0	0		
latin_long	Urvendor	urvendor.com	TAKEN	0	0	0		
latin_long	Velvarith	velvarith.com	AVAILABLE	0	0	0		
latin_long	Wendraris	wendraris.com	AVAILABLE	0	0	0		
latin_long	Xervanth	xervanth.com	AVAILABLE	0	0	0		
latin_long	Yorvenix	yorvenix.com	TAKEN	0	0	0		
latin_long	Calvendris	calvendris.com	AVAILABLE	0	0	0		
latin_long	Ostralor	ostralor.com	AVAILABLE	0	0	0		
latin_long	Pravantis	pravantis.com	AVAILABLE	0	0	0		
latin_long	Stelvarin	stelvarin.com	AVAILABLE	0	0	0		
latin_long	Endorath	endorath.com	AVAILABLE	0	0	0		
short_invented	Norvex	norvex.com	TAKEN	2	0	2	Norvex Équipement inc. Norvex Equipment  (Active)	
short_invented	Caldex	caldex.com	TAKEN	2	0	2	Caldex Corp. (Active)	
short_invented	Velvix	velvix.com	TAKEN	0	0	0		
short_invented	Brendo	brendo.com	TAKEN	0	0	0		
short_invented	Plenor	plenor.com	TAKEN	0	0	0		
short_invented	Marvox	marvox.com	TAKEN	0	0	0		
short_invented	Senvex	senvex.com	TAKEN	0	0	0		
short_invented	Verlin	verlin.com	TAKEN	0	0	0		
short_invented	Tendro	tendro.com	TAKEN	0	0	0		
short_invented	Calwex	calwex.com	TAKEN	0	0	0		
short_invented	Brevix	brevix.com	TAKEN	0	0	0		
short_invented	Solvex	solvex.com	TAKEN	1	1	2	SolveX Canada Inc. (Dissolved for non-co)	
short_invented	Veldox	veldox.com	TAKEN	0	0	0		
short_invented	Maredo	maredo.com	TAKEN	0	0	0		
short_invented	Fendro	fendro.com	TAKEN	0	0	0		
short_invented	Brivex	brivex.com	TAKEN	0	0	0		
short_invented	Calmex	calmex.com	TAKEN	0	1	1	Calmex Framing Limited (Dissolved by the cor)	
short_invented	Velvor	velvor.com	TAKEN	0	0	0		
short_invented	Sondex	sondex.com	TAKEN	0	2	2	LES PLASTIQUES SONDEX INC. SONDEX PLASTI (Dissolved for non-co)	
short_invented	Quvora	quvora.com	TAKEN	0	0	0		
short_invented	Lentro	lentro.com	TAKEN	0	0	0		
short_invented	Pravix	pravix.com	TAKEN	0	0	0		
short_invented	Solnex	solnex.com	TAKEN	0	0	0		
short_invented	Vendix	vendix.com	TAKEN	0	0	0		
short_invented	Quanex	quanex.com	TAKEN	0	0	0		
short_invented	Lendix	lendix.com	TAKEN	1	0	1	Lendix Inc. (Active)	
short_invented	Verax	verax.com	TAKEN	1	1	2	VERAX HOLDINGS LTD. LES PLACEMENTS VERAX (Dissolved for non-co)	
short_invented	Marnex	marnex.com	TAKEN	0	0	0		
short_invented	Caldix	caldix.com	TAKEN	0	0	0		
short_invented	Praxon	praxon.com	TAKEN	1	0	1	Praxon Global Inc. (Active)	
two_word	Northbrook	northbrook.com	TAKEN	1	0	1	Northbrook Consulting Services Inc. (Active)	
two_word	Cedarforge	cedarforge.com	TAKEN	0	0	0		
two_word	Ironbrook	ironbrook.com	TAKEN	0	1	1	IRONBROOK INC. (Dissolved for non-co)	
two_word	Pinewright	pinewright.com	AVAILABLE	0	0	0		
two_word	Stoneforge	stoneforge.com	TAKEN	0	1	1	STONEFORGE CONSTRUCTION INC. (Dissolved for non-co)	
two_word	Brassmere	brassmere.com	TAKEN	0	0	0		
two_word	Oakvalley	oakvalley.com	TAKEN	0	0	0		
